id,cnnaff,Smiles
15380,-4.64517,[H]c1c(N2C([H])([H])C([H])([H])O[C@@]([H])([C@@]3([H])C([H])([H])N(OC([H])([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C([H])([H])C3([H])[H])C2([H])[H])c([H])c(=O)n([H])c1[H]
15381,-4.64424,[H]OC(=O)c1c(C([H])(c2c([H])c([H])c([H])c(=O)n2[H])N([H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c(C([H])([H])[H])nn1[H]
15382,-4.64034,[H]OC([H])([H])C([H])([H])N1C([H])([H])C([H])([H])N([C@@]([H])(O[C@]2([H])OC([H])([H])C([H])([H])N(c3c([H])c([H])n([H])c(=O)c3[H])C2([H])[H])c2nc([H])c([H])c([H])c2[H])C([H])([H])C1([H])[H]
15383,-4.63939,[H]OC([H])([H])[C@]([H])(OSc1c([H])c([H])n(S(=O)(=O)N([H])[H])c(=O)c1C(=O)N([H])N([H])[H])[C@]([H])(O[H])C([H])([H])N([H])C([H])([H])[H]
15384,-4.63881,[H]N=C(N([H])[H])[C@@]([H])(O[C@@]([H])(c1c([H])c([H])c(=O)n(SC(F)(F)F)c1[H])N([H])C([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
15385,-4.63773,[H]c1c(C([H])([H])N([H])C([H])([H])[H])c([H])n([H])c(=O)c1N1C([H])([H])C([H])([H])[C@@]([H])(N(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@]1([H])C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H]
15386,-4.6366,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])c1c([H])c([H])n(N([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c(=O)c1[H]
15387,-4.63655,[H]ON([H])C(=O)C([H])=C([H])c1c(C(=O)N([H])C([H])([H])C([H])([H])c2c([H])c([H])c([H])c(C([H])([H])N3C([H])([H])C([H])([H])N(C([H])([H])[H])[C@]([H])(N([H])C([H])([H])C([H])([H])O[H])C3([H])[H])c2[H])c([H])c(=O)n([H])c1[H]
15388,-4.63637,[H]c1oc(OC(=O)C([H])([H])[H])c(-n2c([H])c(C([H])([H])N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c([H])c2=O)c1[H]
15389,-4.63604,[H]ON([H])C(=O)C([H])=C(c1c([H])c([H])c(=O)n([H])c1[H])N1C([H])([H])C([H])([H])N(C([H])([H])[H])[C@@]([H])(N(C([H])([H])[H])C([H])([H])[H])C1([H])[H]
15390,-4.6357,[H]c1c([H])c([H])c(-n2c([H])c(N=C=S)c([H])c([H])c2=O)c([H])c1[H]
15391,-4.63543,[H]ON([H])C(=O)C(=C(c1c(C([H])=C([H])[H])c([H])c(=O)n([H])c1[H])N([H])C([H])([H])[H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
15392,-4.63538,[H]c1nc([H])c([H])c(-c2c([H])c(Cl)c(C([H])([H])N([H])C([H])([H])c3c([H])c([H])c(=O)n([H])c3[H])c([H])c2C#N)n1
15393,-4.63537,[H]c1c(C(=O)N([H])C([H])([H])C([H])([H])[H])c([H])n(-c2c([H])c(C(=O)N([H])[H])c([H])n2[H])c(=O)c1[H]
15394,-4.63471,[H]c1c([H])c(C([H])([H])[H])c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])c([H])c1-n1c([H])c([H])c([H])c([H])c1=O
15395,-4.63411,[H]OC([H])([H])n1c(S(=O)(=O)N([H])[H])c([H])c(S[H])c(OC([H])([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c1=O
15396,-4.63334,[H]O[C@]([H])(C([H])([H])OC([H])(F)F)[C@@]([H])(c1c(C([H])([H])N([H])C(=O)c2c([H])c([H])c([H])c([H])c2[H])c([H])c([H])n([H])c1=O)C([H])([H])[H]
15397,-4.63267,[H]OC(=O)C([H])([H])ON([H])N([H])C(=O)c1c(SOC([H])([H])C([H])([H])O[H])c([H])c([H])n([H])c1=O
15398,-4.63116,[H]ON(C(=O)C([H])=C([H])c1c([H])c([H])c(=O)n([H])c1[H])C([H])([H])C([H])([H])[C@]([H])(O[H])N1C([H])([H])C([H])([H])N(c2nc([H])c([H])c([H])c2[H])C([H])([H])C1([H])[H]
15399,-4.63029,[H]Sc1c(N([H])C(=O)c2c([H])c([H])c(OC([H])([H])[N+](=O)[O-])c([H])c2[H])c([H])n([H])c(=O)c1[H]
15400,-4.63024,[H]OC(=O)[C@]([H])(C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n([C@]([H])(O[H])c2c([H])c([H])c([H])c([H])c2[H])c1=O)C([H])([H])[H])C([H])([H])C([H])([H])S(=O)(=O)C([H])([H])[H]
15401,-4.62982,[H]O[C@]([H])(C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n([H])c1=O)C([H])([H])[H]
15402,-4.62825,[H]OC(=O)c1c(C([H])(c2c(C([H])([H])N([H])C([H])([H])[H])c([H])c([H])c(=O)n2[H])N([H])C2([H])C([H])([H])C2([H])[H])c(C([H])([H])[C@]2([H])N=C(N([H])[H])OC2([H])[H])nn1[H]
15403,-4.6274,[H]OC(=O)C([H])=C([H])C([H])([H])[C@]([H])(c1c([H])c([H])c([H])n([H])c1=O)C([H])([H])C([H])([H])[H]
15404,-4.62721,[H]O[C@]1([H])C([H])([H])N([C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H]
15405,-4.626,[H]OC(=O)c1c([C@@]([H])(c2c([H])c([H])c([H])c(=O)n2[H])C2([H])C([H])([H])C2([H])[H])c(C([H])([H])[H])nn1[H]
15406,-4.6231,[H]Sc1c([H])c(N=C=S)n(N2C([H])([H])c3c([H])c([H])c([H])c([H])c3C([H])([H])[C@]2([H])C([H])([H])F)c(=O)c1[H]
15407,-4.62281,[H]Sc1c(N([H])C(=O)c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c([H])n([H])c(=O)c1C(=O)N([H])C([H])(C([H])([H])[H])C([H])([H])[H]
15408,-4.62154,[H]c1c(SN2C(=O)C([H])([H])[C@]([H])(N([H])S(=O)(=O)C([H])([H])[H])C2([H])[H])c([H])c(=O)n([H])c1[H]
15409,-4.62142,[H]c1c(N2C([H])([H])C([H])([H])OC([H])([H])[C@@]2([H])C([H])([H])C([H])([H])OC([H])([H])[H])c([H])c(=O)n(C(=O)N(C([H])([H])[H])C([H])([H])[H])c1[H]
15410,-4.62115,[H]C(=O)[C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(N([H])C(=O)n2c([H])c([H])c([H])c([H])c2=O)C1([H])[H]
15411,-4.62014,[H]c1c(N2C([H])([H])C([H])([H])O[C@@]([H])([C@@]3([H])C([H])([H])N([H])C([H])([H])C3([H])[H])[C@]2([H])C(=O)C(F)(F)F)c([H])c(=O)n([H])c1[H]
15412,-4.61969,[H]OC(=O)C([H])([H])O[C@]([H])(C(=O)Oc1oc([H])c([H])c1-n1c([H])c([H])c([H])c([H])c1=O)C([H])([H])N([H])C(=O)C([H])([H])[H]
15413,-4.61738,[H]c1c([H])c(Br)c([H])c(C([H])([H])C([H])([H])OC(=O)N([H])Sc2c([H])c([H])n([H])c(=O)c2[H])c1[H]
